artist,weekend,pop,month,score,genre,minprice
Ed Sheeran,1,688701,9,94,Pop,36
J Balvin,0,645966,10,95,Hip-Hop/Rap,35.95
Leon Bridges,1,226877,9,76,R&B,35.78
Kane Brown,0,50821,9,77,Country,35.5
Kenny Chesney,0,50997,7,76,Country,35.5
Dan + Shay,1,60872,6,76,Country,35.5
Ed Sheeran,1,148483,10,94,Pop,35.5
Sam Smith,1,345012,8,86,Rock,35.5
Jason Aldean,1,447841,7,79,Country,35.5
Luke Combs,1,447841,7,79,Country,35.5
Anne-Marie,1,652405,8,88,Pop,35.5
Ed Sheeran,1,652405,8,94,Pop,35.5
Ed Sheeran,0,1553165,9,94,Pop,35.5
Anne-Marie,0,1553165,9,88,Pop,35.5
Ed Sheeran,0,2718782,10,94,Pop,35.5
Darius Rucker,1,57282,9,71,Country,35.25
Darius Rucker,0,77846,8,71,Country,35.25
Darius Rucker,1,102436,9,71,Country,35.25
Darius Rucker,0,352957,9,71,Country,35.25
Sam Smith,0,44349,7,86,Rock,35
Jordan Davis,0,47749,6,69,Country,35
NF,0,49267,7,81,Hip-Hop/Rap,35
Rae Sremmurd,1,49267,7,87,Hip-Hop/Rap,35
Logic,0,49267,7,88,Hip-Hop/Rap,35
Sam Smith,0,49891,8,86,Rock,35
Imagine Dragons,0,57282,7,89,Rock,35
Portugal. The Man,1,61969,8,78,Rock,35
Darius Rucker,1,74860,8,71,Country,35
Foster The People,1,77846,7,77,Rock,35
Foster The People,0,78373,6,77,Rock,35
Imagine Dragons,0,102436,8,89,Rock,35
Kane Brown,0,136699,8,77,Country,35
Grey,0,148483,6,82,Pop,35
Sam Smith,1,202824,6,86,Rock,35
Lynyrd Skynyrd,0,212113,8,74,Rock,35
Foster The People,1,228653,7,77,Rock,35
Kane Brown,1,345012,7,77,Country,35
Halsey,0,347884,8,85,Rock,35
Imagine Dragons,0,352957,8,89,Rock,35
Leon Bridges,1,431746,8,76,R&B,35
Imagine Dragons,0,431746,7,89,Rock,35
Sam Smith,0,609456,9,86,Rock,35
Kenny Chesney,1,634464,8,76,Country,35
Maren Morris,1,634464,7,82,Rock,35
Niall Horan,1,634464,7,78,Rock,35
Dua Lipa,0,649495,6,92,Rock,35
Sam Smith,1,652405,9,86,Rock,35
Sam Smith,0,688701,6,86,Rock,35
Sam Smith,0,1257676,7,86,Rock,35
Rae Sremmurd,0,1513367,8,87,Hip-Hop/Rap,35
Sam Smith,0,2718782,8,86,Rock,35
Chris Stapleton,1,57282,10,80,Country,34.75
Dan + Shay,0,57282,8,76,Country,34.75
Chris Stapleton,1,60872,6,80,Country,34.75
Dan + Shay,0,62298,6,76,Country,34.75
Chris Stapleton,0,76903,6,80,Country,34.75
Brett Young,0,111542,10,71,Country,34.75
Thomas Rhett,0,111542,10,80,Country,34.75
Darius Rucker,1,256780,8,71,Country,34.75
Chris Stapleton,0,256780,8,80,Country,34.75
Dan + Shay,0,352957,7,76,Country,34.75
Chris Stapleton,1,447841,10,80,Country,34.75
Chris Stapleton,0,556495,8,80,Country,34.75
Jordan Davis,0,49891,9,69,Country,34.5
Ed Sheeran,1,447841,11,94,Pop,34.5
Janelle Monae,0,634464,7,76,R&B,34.5
Adele,1,653450,6,83,Comedy,34.5
Janelle Monae,1,843393,7,76,R&B,34.5
Darius Rucker,0,44349,10,71,Country,34.25
Dan + Shay,0,256780,9,76,Country,34.25
Darius Rucker,0,431746,10,71,Country,34.25
Godsmack,0,447841,8,71,Rock,34
Shinedown,0,447841,8,76,Rock,34
Rae Sremmurd,0,556495,8,87,Hip-Hop/Rap,34
Luke Bryan,0,609456,10,79,Country,34
Darius Rucker,0,1513367,8,71,Country,34
Kane Brown,1,1553165,9,77,Country,34
Dan + Shay,0,44349,6,76,Country,33.75
Chris Stapleton,0,56540,10,80,Country,33.75
Kenny Chesney,0,256780,6,76,Country,33.75
Kane Brown,0,256780,7,77,Country,33.75
Brett Young,0,345012,10,71,Country,33.75
Thomas Rhett,0,345012,10,80,Country,33.75
Dan + Shay,1,431746,6,76,Country,33.75
